Year,Quarter,District,Price
2007,Q4,Centro,4421.6
2007,Q4,Chamartin,4931
2007,Q4,Chamberi,4982.2
2007,Q4,Ciudad Lineal,3725.5
2007,Q4,Fuencarral,3832.7
2007,Q4,Hortaleza,3910.2
2007,Q4,Latina,3105.6
2007,Q4,Madrid,3985.5
2007,Q4,Moncloa,4362.3
2007,Q4,Moratalaz,3233.8
2007,Q4,Puente de Vallecas,3031.1
2007,Q4,Retiro,4402.4
2007,Q4,Salamanca,5015.4
2007,Q4,San Blas,3350.2
2007,Q4,Tetuan,3936.3
2007,Q4,Usera,2994.5
2007,Q4,Vicalvaro,3157.9
2007,Q4,Villa de Vallecas,3084.2
2007,Q4,Villaverde,2803.8
2008,Q1,Arganzuela,3854.7
2008,Q1,Barajas,3636.7
2008,Q1,Carabanchel,3066.7
2008,Q1,Centro,4387.2
2008,Q1,Chamartin,4969.8
2008,Q1,Chamberi,4985
2008,Q1,Ciudad Lineal,3763.9
2008,Q1,Fuencarral,3839.3
2008,Q1,Hortaleza,3950
2008,Q1,Latina,3071.5
2008,Q1,Madrid,3982.2
2008,Q1,Moncloa,4395.6
2008,Q1,Moratalaz,3224.8
2008,Q1,Puente de Vallecas,2990.8
2008,Q1,Retiro,4426.5
2008,Q1,Salamanca,5054.5
2008,Q1,San Blas,3337.3
2008,Q1,Tetuan,3901.4
2008,Q1,Usera,2959.7
2008,Q1,Vicalvaro,3120.2
2008,Q1,Villa de Vallecas,3063
2008,Q1,Villaverde,2767.6
2008,Q2,Arganzuela,3721.2
2008,Q2,Barajas,3601.9
2008,Q2,Carabanchel,2966.4
2008,Q2,Centro,4303.1
2008,Q2,Chamartin,4939
2008,Q2,Chamberi,4885.7
2008,Q2,Ciudad Lineal,3701.8
2008,Q2,Fuencarral,3720.1
2008,Q2,Hortaleza,3853
2008,Q2,Latina,2971.4
2008,Q2,Madrid,3898.6
2008,Q2,Moncloa,4313.7
2008,Q2,Moratalaz,3142
2008,Q2,Puente de Vallecas,2840.6
2008,Q2,Retiro,4372.3
2008,Q2,Salamanca,5040.8
2008,Q2,San Blas,3205.5
2008,Q2,Tetuan,3806.8
2008,Q2,Usera,2857.7
2008,Q2,Vicalvaro,2966.2
2008,Q2,Villa de Vallecas,2925.8
2008,Q2,Villaverde,2610.8
2008,Q3,Arganzuela,3624.5
2008,Q3,Barajas,3518.5
2008,Q3,Carabanchel,2843.8
2008,Q3,Centro,4137.1
2008,Q3,Chamartin,5028.8
2008,Q3,Chamberi,4790.3
2008,Q3,Ciudad Lineal,3679.3
2008,Q3,Fuencarral,3665.7
2008,Q3,Hortaleza,3867.5
2008,Q3,Latina,2857.2
2008,Q3,Madrid,3839.7
2008,Q3,Moncloa,4238.3
2008,Q3,Moratalaz,3019.5
2008,Q3,Puente de Vallecas,2736.7
2008,Q3,Retiro,4313.3
2008,Q3,Salamanca,5166.9
2008,Q3,San Blas,3142.4
2008,Q3,Tetuan,3740
2008,Q3,Usera,2786
2008,Q3,Vicalvaro,2819.5
2008,Q3,Villa de Vallecas,2830.2
2008,Q3,Villaverde,2503.5
2008,Q4,Arganzuela,3550.7
2008,Q4,Barajas,3397.8
2008,Q4,Carabanchel,2790.6
2008,Q4,Centro,4092.5
2008,Q4,Chamartin,4979.1
2008,Q4,Chamberi,4693.4
2008,Q4,Ciudad Lineal,3567
2008,Q4,Fuencarral,3612
2008,Q4,Hortaleza,3888.9
2008,Q4,Latina,2777.1
2008,Q4,Madrid,3781.5
2008,Q4,Moncloa,4135.2
2008,Q4,Moratalaz,2891.6
2008,Q4,Puente de Vallecas,2610.7
2008,Q4,Retiro,4211.7
2008,Q4,Salamanca,5201.8
2008,Q4,San Blas,3097.7
2008,Q4,Tetuan,3656.8
2008,Q4,Usera,2659.3
2008,Q4,Vicalvaro,2769.1
2008,Q4,Villa de Vallecas,2779.9
2008,Q4,Villaverde,2432.9
2009,Q1,Arganzuela,3436
2009,Q1,Barajas,3276.4
2009,Q1,Carabanchel,2679.9
2009,Q1,Centro,3988.2
2009,Q1,Chamartin,4822.2
2009,Q1,Chamberi,4668.1
2009,Q1,Ciudad Lineal,3540.2
2009,Q1,Fuencarral,3589.9
2009,Q1,Hortaleza,3835.8
2009,Q1,Latina,2658.6
2009,Q1,Madrid,3719
2009,Q1,Moncloa,4143.6
2009,Q1,Moratalaz,2834.8
2009,Q1,Puente de Vallecas,2493.1
2009,Q1,Retiro,4192.2
2009,Q1,Salamanca,5054.9
2009,Q1,San Blas,2987.9
2009,Q1,Tetuan,3558.8
2009,Q1,Usera,2584.7
2009,Q1,Vicalvaro,2692.5
2009,Q1,Villa de Vallecas,2684.2
2009,Q1,Villaverde,2343.7
2009,Q2,Arganzuela,3408.1
2009,Q2,Barajas,3254.1
2009,Q2,Carabanchel,2622.2
2009,Q2,Centro,3896.5
2009,Q2,Chamartin,4760
2009,Q2,Chamberi,4681.2
2009,Q2,Ciudad Lineal,3480.2
2009,Q2,Fuencarral,3557.5
2009,Q2,Hortaleza,3822.8
2009,Q2,Latina,2615.2
2009,Q2,Madrid,3697.3
2009,Q2,Moncloa,4087
2009,Q2,Moratalaz,2757.4
2009,Q2,Puente de Vallecas,2442
2009,Q2,Retiro,4161
2009,Q2,Salamanca,5022.7
2009,Q2,San Blas,2932.2
2009,Q2,Tetuan,3525.4
2009,Q2,Usera,2510
2009,Q2,Vicalvaro,2586.8
2009,Q2,Villa de Vallecas,2646.1
2009,Q2,Villaverde,2311.8
2009,Q3,Arganzuela,3392.8
2009,Q3,Barajas,3304.9
2009,Q3,Carabanchel,2623.7
2009,Q3,Centro,3897.3
2009,Q3,Chamartin,4789.6
2009,Q3,Chamberi,4737.2
2009,Q3,Ciudad Lineal,3512
2009,Q3,Fuencarral,3515.4
2009,Q3,Hortaleza,3782.1
2009,Q3,Latina,2577.1
2009,Q3,Madrid,3651.7
2009,Q3,Moncloa,4076.3
2009,Q3,Moratalaz,2717
2009,Q3,Puente de Vallecas,2390.4
2009,Q3,Retiro,4186.6
2009,Q3,Salamanca,4917.6
2009,Q3,San Blas,2928
